V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
4425.0,Year,2016,E12000002,,,Enterprise,85,85 : Education
13235.0,Year,2016,E12000002,,,Enterprise,86-88,86-88 : Health
16155.0,Year,2016,E12000002,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
260055.0,Year,2016,E12000002,,,Enterprise,Total,Total
80.0,Year,2016,E06000008,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
450.0,Year,2016,E06000008,,,Enterprise,05-39,05-39 : Production
405.0,Year,2016,E06000008,,,Enterprise,41-43,41-43 : Construction
210.0,Year,2016,E06000008,,,Enterprise,45,45 : Motor trades
300.0,Year,2016,E06000008,,,Enterprise,46,46 : Wholesale
580.0,Year,2016,E06000008,,,Enterprise,47,47 : Retail
175.0,Year,2016,E06000008,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
305.0,Year,2016,E06000008,,,Enterprise,55-56,55-56 : Accommodation & food services
180.0,Year,2016,E06000008,,,Enterprise,58-63,58-63 : Information & communication
150.0,Year,2016,E06000008,,,Enterprise,64-66,64-66 : Finance & insurance
160.0,Year,2016,E06000008,,,Enterprise,68,68 : Property
575.0,Year,2016,E06000008,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
